metro,zip,pred_cat1,pred_cat2,pred_cat3,pred_cat4,sd_cat1,sd_cat2,sd_cat3,sd_cat4,ci_low_cat1,ci_low_cat2,ci_low_cat3,ci_low_cat4,ci_high_cat1,ci_high_cat2,ci_high_cat3,ci_high_cat4,effective_n,unique_zips
Portland,97045,75.4,77.94,80.72,84.33,1.32,1.49,1.73,1.88,74.0,76.3,78.8,82.3,77.2,80.4,83.7,87.5,23.04,32
Portland,97055,74.24,76.91,79.84,83.62,2.13,2.02,1.97,1.84,69.0,72.3,76.1,81.2,76.5,79.7,83.0,86.9,22.62,32
Portland,97060,74.73,77.04,79.63,83.09,1.05,1.07,1.18,1.3,72.7,75.2,77.5,80.7,76.4,78.5,81.1,85.1,22.22,32
Portland,97062,77.79,80.61,83.66,87.48,2.32,2.37,2.45,2.49,74.6,76.9,79.5,83.2,81.9,84.9,88.1,91.9,21.74,31
Portland,97068,78.96,81.78,84.77,88.6,2.67,2.62,2.6,2.66,75.2,77.7,80.5,84.3,83.7,86.3,89.1,92.9,12.02,15
Portland,97070,80.86,83.62,86.58,90.36,3.07,2.81,2.6,2.5,76.4,79.5,82.7,86.5,85.9,88.2,90.7,94.2,10.0,10
Portland,97078,76.7,79.27,82.11,85.71,2.69,2.76,2.93,3.04,71.6,74.6,77.8,81.6,80.6,83.5,86.7,90.5,10.44,11
Portland,97080,76.77,79.08,81.67,85.16,1.9,2.1,2.31,2.44,74.5,76.6,79.0,82.3,80.6,83.5,86.7,90.5,10.0,10
Portland,97086,77.8,80.28,83.05,86.66,2.32,2.57,2.84,3.08,74.5,76.6,79.0,82.3,81.1,83.9,86.9,91.1,10.0,10
Portland,97089,78.55,81.34,84.32,88.17,2.43,2.38,2.38,2.43,75.2,77.7,80.5,84.3,83.7,86.3,89.1,92.9,10.0,10
Portland,97106,70.68,73.59,76.88,81.4,2.63,2.71,2.66,2.51,67.4,70.2,73.7,78.0,76.5,79.7,83.0,86.9,10.53,11
